,Unnamed: 0,smiles,pXC50,Original_Entry_ID,DB,MW,HA,HD,logP,Lipinski rule
1362,62965,OC(=NO)/C=C/C=1C=C(C=2N([C@H]3CCCN(C3)C)C=4C(N2)=CC=CC4)C=CC1,5.16255187988281,46887061,pubchem,376.46,5,2,4.3289,True
1363,62966,N1(C2=CC=CC=C2N=C1C3=CC(=CC=C3)/C=C/C(=NO)O)C4CCCN(C4)C,5.16255187988281,CHEMBL1094158,chembl20,376.46,5,2,4.3289,True
1365,62968,O=C1N(N(C(C1=NC(=O)/C=C\C(=O)O)C)C)C2=CC=CC=C2,5.16266202926636,1673443,pubchem_screening,301.302,4,1,0.876899999999999,True
1366,62971,ClC1=CC(C(=O)NC2CCN(CC2)CC)=C(OC)C=C1N,5.16269111633301,44575,pubchem,311.813,4,2,2.1449,True
1368,62973,S1C(C2=NC=3N(N=CC3C(O)=O)C(=C2)C(F)(F)F)=CC=C1,5.16273832321167,759110,pubchem_screening,313.26,5,1,3.1748,True
1369,62976,C1=CC=C2N3C(OCCC3)=C(C2=C1)C(NCC4CCN(CC4)CCCC(=O)O)=O,5.16285419464111,CHEMBL1632172,chembl20,399.491,5,2,2.7304,True
1370,62977,C=12C(N=C(N(C1O)CCCC)O)=NC(=N2)C=3C=CC(CC(=O)O)=CC3,5.16287469863892,CHEMBL2113345,chembl20,342.355,7,3,2.2833,True
1373,63141,S1C=C(N=C1)C=2C=C(NC(=O)C3CCN(CC3)CC4=CN=C(N=C4)CC)C=CC2,5.16291236877441,CHEMBL1454381,chembl20,407.543,6,1,4.0132,True
1375,63148,N\1(CCC/C1=N\C2=CC=CC=C2)C,5.16292858123779,99754,pubchem,174.247,1,0,2.4422,True
1377,63214,S=C(N1CCN(CC1)CC2=CC=3OCOC3C=C2)NC4=C(C=CC=C4)C(F)(F)F,5.16307973861694,2211495,pubchem,423.46,4,1,3.9487,True
1378,63404,S=C(N1CCN(CC=2C=C3OCOC3=CC2)CC1)NC4=C(C(F)(F)F)C=CC=C4,5.16307973861694,CHEMBL1379262,chembl20,423.46,4,1,3.9487,True
1380,63419,S(O)(O)(=NC1=C(N(N(C1=O)C2=CC=CC=C2)C)C)=CC,5.16322803497314,692885,pubchem,295.364,4,2,2.22162,True
1382,63635,O1[C@@H]([C@@H](O)[C@@H](O)[C@@H]1N2C3=NC=NC(N)=C3N=C2)C(=O)NCC4CCN(CC4)CC5=CC=CC=C5,5.16332340240479,51360257,pubchem,467.53,10,4,0.0561,False
1383,63690,OC(=O)CN1/C(=N/C2=CC=CC=C2)/CCC1,5.16334342956543,CHEMBL3212197,chembl20,218.256,2,1,1.897,True
